aback|شاته
chilly|يخزڼی
chimney|کولک
chimney|مګ
chin|زنه
china|چين
chinese|چيني
chirp|چرېدل
chirp|چوڼيدل
chirping|چرهار
chirping|چوڼ
chirping|چوڼکی
chloride|ناښور
chlorine|کلورين
chocolate|چاکلېټ
choice|ناويات
choice|واک
choked|تربت
cholera|کولرا
choose|اڼول
choose|خوښول
choosing|چڼ
choosing|متوطن
chopper|ټوکيا
chorus|کورس
chosen|ټاکلی
christ|مسيحا
christian|ترسا
chronic|مزمن
chrysanthemum|داودي
chubby|شلنډ
chubby|غونډمند
chum|شريک
chums|احباب
church|کليسا
churn|منداڼو
churn|وڼی
chute|ترۍ
chute|ناوه
cicada|تاز
cinema|سينما
cinnamon|دالچيني
cipher|رمز
circle|دايره
circle|محفل
circle|مدار
circles|دواير
circuitous|کوګ
circular|متحدالمال
circular|مدور
circulation|چلاو
circulation|چلند
circumcise|سنتول
circumcised|ختنه
circumcision|سنتي
circumference|محيط
circumspect|محتاط
circumspection|احتياط
circumstance|کيفيت
circumstances|مضيقه
circus|ناټک
citadel|ارګ
cite|یادول
citizen|تبعه
citizens|اتباع
citizenship|تابعيت
citron|ترنج
city|ښار
civic|ښاري
civil|ملکي
civil|مودب
civilian|ولسي وګړی
civilians|ولسي وګړي
civility|مدار
claim|دعوا
claim|دعوه
claim|طلب
claim|مدعا
claim|مطالبه
clamour|المسور
clamp|قيد
clan|پرګه
clan|خيل
clan|زيي
clan|طايفه
clan|خېل
clandestine|مخفي
clang|شرنګا
clang|شرنګهار
clang|شرنګی
clang|کړنګ
clang|کړنګول
clang|کړنګېدل
clanging|کړنګی
clanging|ګړنج
clanging|ګړنجی
clank|کړنګ
clapping|چکچکې
clarified|صافېدل
clarify|صافول
clarity|وضاحت
clash|نښته
clasp|چمبه
class|درجه
class|صنف
class|طبقاتي
class|طبقه
class|ټل
class|ټولګی
classes|طبقات
classic|کلاسيک
classicism|کلاسيسيزم
classification|درجه بندي
classification|طبقه بندي
classmate|همصنفي
classroom|صنفي
claustrophobia|ساډوبي
clavicle|ولی
claw|خپړ
claw|منګول
claw|منګوله
claw|نوک
claw|نوکاره
claws|خوي
clay|خاوره
clay|خاورې
clay|ميټ 
clay|مټ
clean|پاکول
clean|حلال
clean|سپېڅ
clean|سپېڅل
clean|سپېڅلی
clean|ستره
clean|سوتره
cleaning|صفايي
cleanliness|پاکوالی
cleanness|نظافت
cleanse|پاکول
clear|روڼ
clear|صاف
clear|صريح
clear|صفا
clear|فصيح
clear|مشهود
clearance|تصفيه
clearcut|روک
clearly|صريحاٌ
clearness|صراحت
clearness|څرګندوالی
clearness|روڼوالى
cleaver|ټوکيا
clerk|ليکونکی
clerk|منشي
clever|رند
clever|ځيرک
cleverness|مهارت
cliche|نګوس
click|کړپا
click|کړپول
click|کړپېدل
clicking|کړپی
clicking|کړچهار
clicking|کړچی
client|مراجعه كوونكى
cliff|لاښ
cliff|ګړنګ
climate|هوا
climb|ختل
cling|کړنګ
clinic|کلينک
clinic|کلينک
clinic|معاينه خانه
clip|ګيره
clitoris|منجغی
cloak|خرقه
cloak|لفافه
clock|ګړيال
close|پای
close|پوري کول
close|جوت
close|جوتول
close|راپوری کول
close|مقارن
close|څرمه
closed|مسدود
cloth|رخت
cloth|کپړه
cloth|ټوکر
clothed|پټ
clothes|ختي
clothes|کالي
clothes|کپړه
clothes|لباس
clothes|نمري
clothes|زروکے
clothes|ذارئکعع
clothing|پوښاک
clothing|لباس
clothing|ملبوسات
clothing|کالی
cloud|اوريځ
cloud|ترړي
cloud|ورېځ
clove|لونګ
clover|شوتله
clown|مسخره
club|کلب
club|کوتک
club|لوړ
club|متار
club|ډانګ
club|ډبلی
club|ډنډه
clue|څرک
clue|څرښه
clumsy|شاړشپاړ
clumsy|شواړي شواړي
clumsy|شډل
clumsy|کاړي واړي
clumsy|نابړ
clumsy|ناپړ
cluster|ږنګوری
clutch|کلچ
clutching|ټينګار
coach|ګاډۍ
coal|تارکول
coalition|ائتلافي
coarse|زيږ
coarse|غليظ
coarse|لواړ
coarse|ځيږ
coast|ساحل
coastal|ساحلي
coat|کوټ
cobalt|کوبالټ
cobbler|څميار
cobra|کوچه مار
cock|غيڼ
cock|غيڼ
cockle|مستک
coconut|کوپړه
cocoon|غوزه
code|کوډ
code|کوډله
code|دوی
codification|تدوين
codified|مدون
coefficient|مشتق
coercion|ناچاري
coeval|همځولی
coeval|ونکی
coffee|کافي
coffin|تابوت
cog|غاښی
cogitation|تفکر
cognition|فکر
coil|ول
coin|پيسه
coin|پيسې
coin|سکه
coin|مسکوک
coin|يکۍ
coincident|منطبق
coinciding|مصادف
coined|مسکوک
coital|غوي
coitus|غوول
colander|غلبېل
cold|بې مينې
cold|رېزش
cold|زکام
cold|ساړه
cold|سردسېر
cold|سوړ
cold|سوړپوړ
cold|غټی
cold|کيسر
cold|لوټه
cold|والګی
cold|يخ
cold|يخني
coldness|يخني
coldness|يخوالی
collaboration|همکاري
collaborator|بړېڅی
collapse|سقوط
collapsed|منهدم
collar|غړوندی
collar|غړۍ
collar|وړغندی
collar|ګريوان
collation|مقابله
colleague|همکار
collect|راټولول
collecting|تحصيل
collection|کلکسيون
collection|مجموعه
collective|کولکټيو
collector|محصل
college|فاکولته
collision|تصادم
collision|ټکر
collision|ډغره
cologne|سانټ
colon|انډاره
colonel|ډګروال
colonial|استعماري
colonialism|ښکېلاک
colonialist|استعمارچي
colonies|مستملکات
colonised|ښکېللی
colony|مستعمره
colours|رنګونه
colt|کهار
colt|کورنګی
coma|کوما
comb|کرکره
comb|منګز
comb|نموږل
comb|ږمنځ
comb|ږمنځول
comb|ږمونځ
comb|ږمونځول
comb|ګومنځ
combat|محاربه
combatant|مبارز
combination|ګډوالی
combine|يوځای کيدل
combined|ګډ
combustible|سون
combustibles|محترقه مواد
combustion|سونګ
come|راتلل
comedy|کميدي
comer|راتلونکی
comfort|تسلي
comfortable|آسوده
comfortable|مستريح
comfortable|سوکاله
comic|کوميک
comic|مضحک
coming|راتګ
command|بولۍ
command|سرکردګي
command|قومانده
command|واک
command|واک
commander|قوماندان
commander|کمانډر
commandment|حکم
commandments|احکام
commando|سرتېری
commands|اوامر
commemoration|يادګيرنه
commencement|پيل
commendation|تقريظ
comment|څرګندونه
commentary|تفسير
commentator|مفسر
commerce|سوداګري
commercial|تجارتي
commiseration|غمشريکي
commissar|کميسار
commissariat|زېرمتون
commission|جرګه ګۍ
commission|دلالي
commission|کميسيون
commission|کمېشن
commission|ماتومی
commitment|تعهد
committed|متعهد
committee|کميټه
commodities|تجارتی مال
common|عام
common|عرف
common|عمومي
common|مروج
common|مشترک
common|ګډ
commoner|وپره
commonly|اصولآ
commonplace|معمولي
commotion|اخلال
commune|کمون
communicable|ساري
communication|مخابره
communications|مواصلات
communique|اعلاميه
communism|کمونيزم
communist|کمونيستي
community|جميعت
community|ټولنه
commute|تگ راتگ کول
compact|تخته
companion|رفيق
companion|مل
companion|ملګری
companion|يار
companionable|اجتماعي
companionship|ملګرتيا
companionship|ملګري
company|کمپنۍ
company|ټل
company|ګدۍ
comparatively|نسبتأ
compared|مشبه
comparing|تطبيق
comparison|قياس
comparison|مقابله
comparison|مقايسه
comparisons|پرتلې
compartment|ډبه
compass|قطب نما
compassion|خواخوږي
compassion|رحم
compassion|رحمت
compassion|زړه خوږي
compassion|زړه سوی
compassion|شفقت
compassion|غمشريکي
compassionate|زړه خوږی
compassionate|غمخور
compassionate|غمشريک
compatriot|هېوادوال
compatriot|وطندار
compatriot|وطنوال
compel|اړول
compel|اړېدل
compel|مجبورول
compelled|مجبور
compelled|مجبوريدل
compelled|ناچار
compelled|ناعلاجه
compensate|تاوان ورکول
compensation|تلافي
compensation|ثواب
compensation|جبران
compensation|جبيره
compensation|معاوضه
compete|سيالي
competence|قابليت
competence|لياقت
competent|تکړه
competent|ذيصلاح
competition|سيالی
competitions|رقابتونه
competitor|رقيب
compilation|تدوين
compile|تاليفول
compiled|مدون
compiler|مولف
complainant|ګيله من
complainer|ماڼيجن
complaining|ګيله من
complaint|شکايت
complaint|غاو
complaint|ماڼه
complaint|ماڼی
complaint|ګله
complete|بشپړېدل
complete|پوره
complete|پوره کول
complete|تکميلول
complete|تمام
complete|سلامت
complete|کامل
complete|متکامل
complete|مکمل
completed|مکمل
completely|تش تور
completely|سوچ
completely|کاملاً
completely|له مخې
completely|بيخى
completion|بشپړونه
completion|بشپړېدنه
completion|تکميل
complex|غامض
complex|کړکېچن
complexion|تره
complexioned|ارغوش
complexity|کړکېچ
complicate|پېچل، تاوول، مروړل، ګډوډول : تاوېدل، ګډوډېدل، مغلق كول.
complicated|مغلق
compliment|تمجيد
compliment|توصيف
components|اجزا
compose|پنځول
composed|مرکب
composer|ناظم
composition|ترکيب
composition|کمپوز
composure|ټاټوبه
compound|ترکيبي
compound|تلی
compound|مرکب
compounded|کمپوډر
comprehension|درک
comprehensive|هر اړخےز
compress|درينګل
compressed|درينګ
comprising|متعاهد
compromise|صلح
compromise|مصالحه
compulsion|مجبوري
compulsion|مجبوريت
compulsion|ناچاري
compulsory|جبري
compulsory|حتمي
compunction|ترتاب
computation|محاسبه
computer|سولګر
comrade|رفيق
comrade|ملګری
comrade|ملګرې
concave|مقعر
conceal|پټول
concealed|پټ
concealed|مخفي
concealed|ملفوف
concealed|نهام
concealed|نيهام
concealment|اخفأ
conceit|وياړ
conceited|کلانکاره
conceivably|کېدې شي
concentrated|متمرکز
concentration|تمرکز
concept|مفهوم
concern|مساْله
concerned|انديښنه
concerning|پسې
concert|کنسرټ
concession|امتياز
concessionary|امتيازي
conciseness|اختصار
concluded|منعقد
conclusion|پای
conclusion|عاقبت
conclusion|نتيجه
conclusive|قطعي
concomitant|مل
concord|اتفاق
concord|توافق
concordance|موافقت
concordance|موافقه
concordant|هماهنګ
concourse|کانکور
concrete|مجسم
concrete|مشخص
concubine|وينزه
concurrent|همزمان
condemned|محکوم
condensed|چکه
condensed|چکيده
condensed|خټه
condensed|متراکم
condensed|مجمل
condensed|ګټه
condiment|مساله
condition|اوضاع
condition|حال
condition|حالت
condition|شرط
condition|کيفيت
condition|وضع
condition|وضعيت
conditional|مشروط
conditioned|مشروط
conditions|شرايط
condolence|تعزيت
condolence|همدردي
condor|امریکايي کرکس
conduct|سلوک
conduct|رفاتار
conducting|ناقل
conductor|نګران
conductor|هادي
conduit|بلول
cone|مخروط
confectioner|قناد
confederate|متفق
confederation|کنفدراسيون
conference|کنفرانس
confessing|مقر
confession|اقرار
confessor|قايل
confidant|همراز
confide|خواله کول
confidence|اعتماد
confidence|باور
confidence|خاطرجمعي
confident|مطمين
confident|ډاډمن
confident|ډاډمنه
confidential|خصوصي
confidentially|محرمانه
confine|تحديدول
confined|نظربند
confinement|توقيف
confirmation|تاييدول
confirmed|موکد
confirming|تثبيت
confiscate|ضبطول
confiscation|مصادره
conflagration|اورلګېدنه
conflict|مناقشه
confluence|سنګم
conformable|موافق
conforming|منطبق
conformity|تطابق
conformity|مطابقت
conformity|موافقت
conformity|موافقه
confounded|هېښ
confrontation|ډغره
confronting|مخامخ
confronting|مواجه
confuse|سرمغزنول
confused|اوتر
confused|ترور
confused|جړپړ
confused|مختل
confused|مشتبه
confused|مشوش
confused|مغشوش
confused|نااوډلی
confused|نامرتب
confused|وارخطا
confusion|التباس
confusion|هرج ومرج
confusion|وارخطايي
congealed|منجمد
congenital|مورزاده
congenital|موزادی
congratulate|مبارکي
congratulation|تبريک
congratulation|مبارکي
congratulations|ومبارک سئ
congregated|محشور
congregation|اجماع
congregation|جماعت
congregation|ټولنه
congress|کنګره
congruence|موافقه
congruent|متجانس
conical|مخروطي
conifer|نښتر
conjectural|تخميني
conjecture|حدس
conjecture|سټاله
conjecture|قرينه
conjugate|ګردانول
conjugation|ګردان
conjurer|جادوګر
conjuror|مداري
connected|مربوط
connected|نښتل
connected|اړ
connection|ارتباط
connection|تار
connection|تعلق
connection|رابطه
connection|ربط
connection|نسبت
connection|وصل
connection|اړه
connective|ارتباطي
connivance|اغماض
connotation|دڅنګ تاثير
conquered|مسخر
conquering|تسخير
conqueror|فاتح
conquest|فتح
conscience|ضمير
conscience|وجدان
conscientious|وظيفه شناس
conscientiously|ايماني
conscious|شعوري
consciousness|شعور
consciousness|هوښ
consecutive|متوالي
consecutive|مسلسل
consent|خوښه
consent|خوښي
consent|رضا
consent|قبول
consent|مرضي
consent|منښت
consent|هوکه
consent|هوکړه
consequence|نتيجه
conserve|کنسرو
consider|انګیرل
considerate|اهل
consideration|روی
consideration|غور
consideration|لحاظ
consideration|مطالعه
consideration|ملاحظه
considered|غور کول
consignment|بارنامه
consistency|استقامت
consisting|مشتمل
consolation|سوده
consoled|دلاسا
consolidation|استحکام
consonant|کانسونېنټ
conspicuous|څرګند
conspiracy|دسيسه
conspiracy|دسيسه
constancy|ثبات
constancy|څوار
constant|دايمي
constantly|دم په دم
constipation|قبض
constituent|موسس
constituents|اجزا
constitution|مرامنامه
constitutional|مشروطه
constitutionalism|مشروطيت
constrained|ناعلاجه
constraint|جبر
constricted|منقبض
constrictive|قابض
constructed|اباد
constructed|ودان
construction|ساختمان
construction|ساختماني
constructive|تعميري
consul|قونسول
consul|کونسل
consulate|قونسولګري
consultant|مشهوره ورکونکی
consultation|مشاوره
consume|خرابول
consumer|مستهلک
consumption|مصرف
consumption|مړه خوږ
consumptive|مړ هکی
contact|تماس
contagious|ساري
contained|مندرج
container|انډېری
containing|متضمن
containing|محتوی
containing|مشتمل
contaminated|ملوث
contemplate|اندېښنه کول، ری وهل
contemplation|جاج
contemporaneous|معاصر
contemporary|معاصر
contempt|تره
contempt|ترې
contempt|حقارت
contending|اکتفا
content|مضمون
contented|قانع
contented|موړسترګی
contention|معارضه
contentment|سبڼه
contentment|قناعت
contents|مندرجات
contest|ميچ
context|قرينه
contiguity|تماس
contiguity|پيوستون
continence|پرهېزګاري
continent|قاره
contingent|محتمل
continually|مدام
continue|دوام کول
continuity|دوام
continuous|متمادي
continuous|متوالي
continuous|مسلسل
continuously|پرله پسې
contorted|منقبض
contorted|ګونجلک
contraband|قاچاقي
contract|تړون
contract|قرارداد
contract|مقاوله
contract|موافقتنامه
contract|ټېکه
contracted|مخفف
contracted|منقبض
contracting|متعاهد
contraction|انقباض
contractor|ټېکه دار
contradiction|تناقض
contradiction|مخالفت
contradiction|مغايرت
contradiction|نقاضت
contradictory|مغاير
contradictory|نقيض
contrary|معکوس
contrary|مغاير
contrast|تضاد
contribution|شلاونډ
contrivance|تدبير
control|کنترول
control|کنترولول
control|کنټرول
control|کنټرولول
control|مراقبت
controller|کنترولر
controversies|ابحاث
controversy|مناظره
controversy|نزاع
convalescence|نقاهت
convalescence|نونڅه
convened|منعقد
convenience|اساني
convening|انعقاد
convent|خانقا
convention|کنوانسيون
conversation|صحبت
conversation|لام کلام
conversation|مکاله
conversation|وينا
conversation|وينه
conversion|تسعير
converted|اوښتی
convex|محدب
conveying|ناقل
conveyor|تسمه
convicted|محکوم
convinced|متقاعد
convinced|قانع
convincing|مقنع
convoy|بهير
convoy|بيير 
convoy|قافله
convulsion|ګبټۍ
convulsive|متشنج
cooing|کوکو
cook|پخوونکی
cooked|پخه
cooked|پوخ
cooker|پخوونکی
cookery|اشپزي
cookies|کلچې
cooking|پخول
cooking|څښته
cooking|پخلي
cool|سوړ
cool|سړه
cool|متين
coolness|مانه
coolness|ماڼه
coolness|ماڼی
cooperation|همکاري
cooperative|کوپراتيف
coordination|تنظيم
coordinator|منتظم
copper|مسي
copra|کوپړه
copulation|غو
copy|کاپي
copy|مثنی
copy|نسخه
copying|نقل
coquette|برند
coral|ريمان
coral|رېړم
cord|مزی
cordial|صميمي
cordiality|صميميت
coriander|دڼيا
cork|کاک
corn|دراز
corn|مېخک
cornea|قرنيه
corner|غوږی
corner|کنج
corner|کونج
corner|ګوټ
corner|ګوښه
cornice|بلۍ
coronation|تاج په سرکول
corporal|جسماني
corporal|جسمي
corps|قول اردو
corpse|درنګه
corpse|نعش
correct|درست
correct|سم
correct|سمول
correct|کره
correct|ټيک
correction|تاديب
correction|سمون
correction|سمښت
correctness|صحت
corrector|مصحح
correlation|ارتباط لرل
correspondence|مکاتبه
correspondent|خبريال
corresponding|مقابل
corridor|دهليز
corroborative|مايل
corrupt|فاسدول
corruption|فساد
corruption|فساد
cosmic|کازميکي
cosmos|عالم
cost|قيمت
costliness|ګرانوالی
costly|ګران
costly|ګران بيه
cot|کټ
cotton|پنبه
cotton|پومبه
cotton|نخي
cotton|مالوچ
couch|کوچ
cough|ټوخا
cough|ټوخل
cough|ټوخلی
cough|ټوخی
cough|ټوخېدل
coughing|اخ و ټوخ
council|شورا
counsel|مشاوره
counsel|نصيحت
counsel|ورم
counsellor|مشاور
counsellor|مشورت
counsellor|مشوره
count|حسابول
count|شمارل
count|شماره
count|شمېر
count|شمېرل
countenance|بڼه
countenance|وکر
counterfeit|ساخته کاره
counterfeit|ساخته کاري
counterfeit|کلپ
counterfeit|کوټه
counterfeit|ناچل
counterfeit|ناچله
counterfeit|ناسره
counterfoil|کونده
counterpart|ساری
countless|بې شماره
countless|بې شمېره
country|مملکت
country|مېنه
country|هېواد
country|وطن
countryman|هيوادوال
couplet|بيت
coupon|کوپون
courage|جرأت
courage|دلاور
courage|شجاعت
courage|شهامت
courage|غيرت
courage|ميړانه
courage|مړانه
courage|مړنتوب
courage|ورغ
courageous|باتور
courageous|بادور
courageous|تورزن
courageous|توريالی
courageous|زړن
courageous|زړه ور
courageous|زړه ورتوب
courageous|زړه ورتيا
courageous|غيرتمن
courageous|غيرتي
courageous|ميړنی
courageous|ميړه
courageous|ميړه مخی
courageous|مړنی
courageous|باتوره
courier|زری
courier|قاصد
courier|ځری
course|مسير
court|درګاه
court|جرګه
court|نياوتون
courteous|مهذب
courtesy|انسانيت
courtesy|سړيتوب
courtier|درباري
courtship|ګردني
courtyard|صحن
courtyard|غولی
cousin|ترورزی
cover|پوښ
cover|پوښل
cover|سرپوښ
cover|لفافه
cover|مخپوټی
covered|مجلد
covering|ستر
covetous|امته
covetous|امته دار
covetous|بداروا
covetous|څک اروا
covetousness|تمه
cow|غوا
cow|غويى
coward|بې غيرته
coward|بې ننګه
coward|خجه
coward|ټرن
coward|ډارن
cowardice|بې غيرتي
cowardice|جبن
cowardice|ناځواني
cowardly|خړوس
cowardly|خړی
cowardly|هراند
cowardly|وېرندوکی
cowardly|ډارېدونکی
cowboy|غوبه
cowboy|غوبون
cowherd|غوبنی
cowherd|غوبه
cowherd|غوبون
coy|محجوب 
crab|چونګاښ
crab|کني کبر
crab|کوني کبر
crab|نېښي
crab|ګولی پنج
crack|ترکېدل
crack|تړاک
crack|تړک
crack|چاک
crack|چاود
crack|چاودل
crack|چاوديدل
crack|چو
crack|چودل
crack|چړاخ
crack|درز
crack|دړز
crack|کرچ
crack|وسلېدل
crack|چاود
cracked|درزي
cracking|کرپی
cracking|ټکهار
crackle|خرچ
crackle|خرچول
crackle|کرپ
crackling|درزهار
crackling|کرپا
crackling|کرچهار
crackling|کرچی
cracks|شوتي
cradle|ځانګو
craft|حيله
craft|صنعت
craft|کسب
craft|کمال
craftsman|کسبګر
crafty|چالاک
crafty|چلباز
crafty|چلی
crafty|چمبازه
crafty|محيل
crafty|مکار
crafty|مکرجن
crag|کمر
cramp|قيد
cramped|سونګوټ
crane|زاڼه
crane|زاڼی
crane|کلنګ
crane|لګ لګ
crane|لګ لګ، کب خوړونکی مرغه یا ډینګ
crash|خرچ
crash|ټکر
crate|کرېټ
craven|ډارن
craving|تلوسه
craving|جذبه
craving|خواستغي
craving|خواستغی
craving|رچ
crawling|خالپوڅی
crawling|خاړپوڅی
crawling|څلوربولي
craze|چس
craziness|لېونتوب
crazy|لېونی
creak|ګږ
creaking|ګږهار
cream|زبده
cream|زبر
cream|کريم
creamer|منګے
created|مخلوق
creation|ايجاد
creation|تکوين
creation|خلقت
creation|پنځونه
creations|پنځونې
creative|خلاقه
creative|مبتکر
creativity|خلاقيت
creator|موجد
creature|مخلوق
credentials|باورليک
credible|باوري
credit|پور
credit|طلب
credit|کريډټ
credit|وپار
creditable|معتبر
creed|اعتقاد
creek|وياله
creeper|خزنده
crescent|هلال
cress|ترتېزک
cress|هلم
crest|غاښی
crest|کرکره
crew|عمله
crib|ځانګو
cricket|چورچورکه
crier|ډنډوره چي
crime|جنايت
crime|جرم
criminal|جنايي
criminal|مجرم
criminology|کريمينولوجي
crimson|ارغواني
crippled|شل
crippled|شوټ
crippled|معيوب
crisis|بحران
crispy|برشته
criteria|موازين
criterion|معيار
critic|منقد
critic|ناقد
critic|نقاد
critical|بحراني
criticism|تنقيد
criticism|کره کتنه
criticism|نيوکه
criticisms|نيوکې
critique|کره کتنه
crock|منګے
crocodile|ناکه
crocodile|تمساح
crocodile|سيمساره
crocodile|غروی
crocodile|کپېړ
crone|کرون
crook|مچک
crooked|کوږ
crooked|منحني
crooked|ناسم
crooked|ټټ
crooked|ټيټ
crooked|ټيټه
crookedness|کږوالی
crop|بار
crop|ججوری
crop|حاصل
crop|خرخښه
crop|فصل
crop|کښت
crop|محصول
crop|ورېشپر
cross|صليب
crossed|کوره
crossing|تقاطع
croup|ساغرۍ
crow|کارغه
crow|کارګه
crow|کارغه
crowbar|جبل
crowd|جماعت
crowd|جميعت
crowd|سراوړه
crowd|ورخړ
crowd|ټوپ ټپانی
crowd|ډله
crowd|ډله
crowded|سڅ
crowded|ګڼ
crowding|لټپېر
crowding|هجوم
crown|جوغه
crown|سرخول
crown|کرکره
crowning|تاج په سرکول
crude|شاړشپاړ
cruel|جابر
cruel|زورمټی
cruel|زولال
cruel|سفاک
cruel|ظالم
cruelly|ظالمانه
cruelty|جفا
cruelty|ظلم
cruelty|مظلمه
cruelty|ګر
crumb|زړی
crumb|نمړۍ
crumbs|رېزګي
crumple|مروړل
crumpled|کلوچ
crunch|کرپ
crunch|کرپول
crunching|کرپی
crunching|کرچهار
crunching|کرچی
crush|خچ پچول
crush|ځپل
crush|ځپل کېدل
crushed|چختاړ
crushed|چختاڼ
crushed|چيت
crushed|خچ پچ
crushed|خړيچ
crushed|کلوچ
crushed|ليت
crushed|ليت پيت
crushed|ګېرګيره
crushing|کرپا
crust|خوروکی
crust|قشر
crusty|برشته
crutch|ټوکان
cry|چيغه
cry|ژړل
cry|ژړېدل
cry|سونګل
cry|غلبله
cry|غورځی
cry|کريکه
cry|کريږه
cry|کوکاره
cry|کوکه
cry|کړيکه
cry|ناره
cry|غریو
crying|انګيا
crying|بغاره
crying|بوغاره
crying|ژړاند
crying|سونګن
crying|سونګټ
crying|واويلا
crystal|بلور
crystalline|بلورين
cuba|کيوبا
cuban|کيوبايي
cube|مکعب
cubic|مکعب
cuckold|دله
cuckold|دووس
cucumber|تره
cucumber|ترۍ
cucumber|چمبرخيال
cucumber|دانګوړی
cucumber|نګوړی
cud|شخوند
cudgel|ډانګ
cuff|د لستوڼو خولې
culmination|ستونځ
culpable|مقصر
cultivated|خړوب
cultivation|کښت
cultivation|کرل
cultivation|کرهني
cultivator|کښتګر
cultural|کلتوري
culture|ثقافت
culture|فرهنګ
culture|کلتور
culture|کلچر
culture|دود
cultured|ادبي
cultured|متمدن
cultured|مهذب
cultured|مودب
culvert|پلچک
cummerbund|کمربند
cuneiform|مېخي
cunnilingus|کوسچوپنه
cunning|مکار
cunning|ښويکی
cunning|ښوی
cup|کپ
cup|کوپ
cup|کټوری
cup|ګډوی
cupboard|المارۍ
cupidity|طمع
cupola|ګومبزه
cupola|ګومبۍ
curb|زغمل
curd|چکيده
curd|ماسته
curd|مستې
cure|رغون
cure|سرب
cure|شفا
cure|علاج
cure|مداوا
cure|معالجه
cure|هوبله
curfew|بنديز
curious|لټوونكى
curl|کجک
curl|ول
curled|الول
curls|زلفې
curly|مجعد
curly|څپول
curly|ګاړګوټی
currants|مويز
currency|اسعار
current|جريان
current|متداول
current|مروج
current|مستعمل
curry|لاوڼر
curse|کنځا
curse|کنځل
curse|لعنت
curse|نفرين
curse|ښرا
curse|ښېرا
cursed|لعين
cursory|ځغلند
curtailed|ابتر
curtain|پېڅول
curtain|ستره
curve|پېر
curve|شوغول
curved|شوغ
curved|منحني
curved|ټيټ
curved|ټيټه
cushion|کوربچه
custodian|متولي
custodian|ولي
custody|ساتنه
custom|دود
custom|دودوبايده
custom|رسم
custom|رواج
custom|عادت
custom|عرف
custom|نرخ
custom|ګمرک
customarily|عادتاً
customary|عادي
customary|مروج
customary|معمول
customer|ګاک
customer|پېرودونکی
customer|پېرودونکې
customers|پېرودونکي
customs|مراسم
cut|پرهار
cut|پرې
cut|پرې کول
cut|پرې کړی
cut|زخم
cut|غوڅ
cut|غوڅول
cut|قطع
cut|کلمول
cut|پرې
cute|کوکو
cutting|جارحه
cuttings|کلم
cylinder|سلنډر
cynical|بي اتباره
cypress|سروه
cypress|سروه
cyprus|قبرس
dab|ټکورول، پوست شی په نرمی پری وهل
dad|ابک
daddy|ابک
daddy|بابا
daddy|بابک
daddy|دادا
dagger|ټوکيا
daggers|چړې
daily|ورځنی
dais|منبر
dam|تړ
dam|وسته
dam|وند
damage|بدري
damage|بنډ
damage|تاوان
damage|تاوان رسول
damage|توپړ
damage|خساره
damage|خلل
damage|رچ
damage|زيان
damage|ژوبله
damage|شوپيان
damage|صدمه
damage|ضرر
damage|مضار
damage|نغند
damage|نقص
damage|نقصان
damage|تاوان
damaged|ضايع
damaging|تاوانی
damascus|دمشق
dammed|لعين
damnation|لعنت
damned|ملعون
damp|زيمناک
damp|نمجن
damp|نيېل
damp|وچ ميږن
dampness|زيم
dampness|نم
dampness|نو
dance|ايشله
dance|رقص
dance|ناچ
dance|ناڅ
dance|نچول
dance|نڅا
dance|نڅل
dance|نڅول
dance|نڅېدل
dance|يامېدل
dance|ډانس
dance|ګډا
dance|ګډه امۍ
dance|ګډېدل
dancer|رقاص
dancer|ناڅګر
dancer|نڅونکی
dancer|ګډوونی
dancing|رقص
dandruff|خانګره
danger|خطر
dangerous|خطرناک
dangerousness|وخامت
dare|جرئت کول
daring|جسور
daring|رفو
daring|روی
daring|رټ
daring|متهور
daring|همتناک
dark|تيارول
dark|سيين
dark|ظلمت
darkness|تياره
darkness|ظلمت
darling|شها
darling|شهو
darling|شهۍ
darling|لالی
darling|معشوقه
dart|ترپ
dash|ترپل
dastardly|بې غيرته
data|اومتوکي
date|خرما
date|کجوره
date|نېټه
date|تاريخ
date|خجوره
dates|کجور
daughter|لور
daunt|باک
dauntless|بې اعتنا
dawn|چربانګ
dawn|چرګ بانګ
dawn|رڼغونې
dawn|ساوون
dawn|سپېده داغ
dawn|سپېدې
dawn|ملااذان
day|ورځ
day|ورځ
daybreak|سبا
daytime|د ورځي وخت
daze|سرمغزنول
dazed|منګ
dazzle|برېښول
dead|متوفی
dead|مړی
dead|نمړۍ
dead|هلاک
deadly|وژونکی
deadly|وژونی
deaf|کوڼ
deafen|کڼول
deafness|کوڼوالی
deafness|کڼتيا
dealing|معامله
dean|رييس
dear|لالی
dear|هی
dear|ګران
dear|مينوال
dearness|ګرانښت
dearth|کاخت
dearth|نېستي
dearth|ګراني
death|مرګ
death|مړينه
death|هلاکت
death|وفات
death|سرزيان
death|مړينه
debate|مناظره
debates|ابحاث
debauchery|چړچه
debility|ناتواني
debt|دين
debt|طلب
decade|لسيزه
decadence|خرابي
decadence|وروستوالی
decanter|صراحي
decapitate|سروهل
decay|وروستوالی
decayed|خراب
decayed|فاسد
decayed|وروست
decayed|ګنده
decayed|سخا
deceased|مرحوم
deceased|متوفي
deceit|چم
deceit|حيله
deceit|دروه
deceit|دروهه
deceit|دوکه
deceit|ريا
deceit|غالې
deceit|غولونه
deceit|غولېدنه
deceit|کلپي
deceit|مکاري
