English|پښتو
Dead Space|مړه يا ميته ساحه
Dead Water|ولاړې اوبه/ جبه زار ځای
Deadfall|د حيوان له پاسه د يوه درانه جسم را غورځول
deadly|مهلک
deaf|کوڼ
deaf|کوڼ(کڼه)
deafen|کڼول
deafness|کوڼتوب
deafness|کوڼوالی
deafness|کڼتيا
deal|معامله
dealer|کمېشن کار(ه)
dealer|کاروباري(ان)
dealers|دلالان
dealing|چلند
dealings|معاملو
deals|معامله ګان
dear|ګران
dear|لالی
dear|عزيز
dear|ښاغلی
dear|گران(ه)
dear|ګران(ه)
dearness|ګرانوالی
dearness|ګرانښت
dearth|نېستي
death|مرګ
death|مړينه
death|وفات
death|فوت
death|مرگ
death |تلف(ات) 
death penalty|د اعدام سزا
death penalty|اعدام
death rate|مرګومیر
death spell|مرګوني سيوري
death threat|د مړګ اخطار
deaths|تلفات
deauchery|عيش
Debarkation|کښته کېدل
debatable|د بحث وړ
debate|مناظره
debate|بحث
debauchery|چړچى
Debriefing|استجواب، د معلوماتو اخيستل
debris|پارچوټوټو
debris|لاش
debris|نتوتی
Debris|ماتې شوې وړې ټوټې
debt|پور
debt|قرض
debt|کرضدارۍ
debtor|پوروړۍ
decade|لسيزه
decade|لسیزی
decadence|وروستوالی
decay|ورستيدل
decayed|ګنده
decayed|وروست
deceased|متوفی
deceased|مرحوم
deceased |مرحوم
deceit|چل
deceit|چم
deceit|دروه
deceit|دروهه
deceit|غالې
deceit|مکر
deceit|غاليجن
deceitful|ريالار
deceive|اغفالول
Deceive|تېر ايستل
deceived|تېروتل
December|دسامبر
December 21 - January 20|جدي
December 21 - January 20|مرغومی
Decentralized|له مرکز څخه اېستل شوی
deception|اغفال
deception|تیروتنه
deception|غاليجن
Deception |تېر اېستنه
Deception Plan|د تېر ايستنې پلان
decessors|اسلاف
decide|تصميم نيول
decide|فيصله کول
Deciduous Trees|د لږ مودې پاييدونکې ونې
decimal|اعشاري
decimal|عشاريه
decimal|اشاريا
decimal|اعشاريه
decimal point|اعشاريه
decimal point|عشاريه
decimal point|اشاريه
decimeter|دېسي متر
decision|فيصله
decision|لنډون
decision|اراده
decision|پریکړه
decision|تسمیم
decision|تصميم
decision|صلاح
decision|عزم
decision|نيت
decision|اقدام
Decision|پرېکړه
decision makers|تصميم نيوونکی
Decision-Making Process|د پرېکړې کولو  کړنلاره
decisive|قاطع
decisive|قطعي
Decisive|قاطع ، وروستی تصميم
decisively|په غوڅه توګه
declaration|اعلاميه
declaration|علم وخبر
declaration|بيان
decline|زوال
declining|نزولي
decoction|جوشانده
decongest|صافول
decorate|پسولل
decoration|تزيين
decoration|زينت
decorative|زينتي
decorative|ډولي
decorative blanket for horse|چرګۍ
decoy|مله
decrease|کاهش
decrease|کموالى
decrease|کمښت
decrease|انحطاط
decrease|کمول
decreased|لږېدل
decree|فرمان
dedication|وقف
dedication|ډالۍ
deduction|وضع
deed|اعتبار ليک
deed|کړﮤ وړﮤ
deed of sale|قباله
deed of sale|قواله
deeds|اعمال
deeds|کړنى
deep|زور
deep|ژور
deep|عميق
deep|غوچ
deep|ژور(ه)
deep|عميق(ه)
deep sleeper|مړخوبه
deep thinker|مفکر
deep whirl pool|خرخوړی
deepen|غوچول
deer|سګه
deer|هوسۍ
deer|هوسی
deer|ګوزن
defamation|افترا
defame|بدنامول
defame|بدنامېدل
defame|افتذاح
defamed|بدنام
defeat|ماته
defeat|ماتې
defeat|په شا تمبول
defeat|شکست
defeat|شکست خوړل
defeat|ماته ورکول
defeat|ړنګيدل
defeat|ناکامۍ
defeat|عوارض
Defeat|ماتې خوړل ، ماتې ورکول
defeat |مغلوبول
defeated|مغلوب
defeated|مغلوبېدل
defeated|غالب
defect|عيب
defect|ميار
defect|نقصېه
defect|وات
defect|نيمګړتيا
defective|ميارن
defective|ناقص
defective|عيدبي
defective (body) parts|اندامونه
defector|پناه وړونکى
defence|دفاع
defence|مدافعه
defence attorny|مدافع وکيل
defend|دفاع کول
defendant|مدعی عليه
defender|مدافع
defender|مدفاع
defense|پالنه
defense|دفاع
defense|ساتنه
defense attorney|مدافع وکيل(ه)
Defense Ministry|د دفاع وزارت
defensive|تدافعي
defensive|دفاعي
Defensive|مدافعوي/ تدافعي
defensive fighting position (DFP)|مورچه
deferment|تاجيل
defiance|سرغرونه
deficiency|تفريط
deficiency|لږوالی
deficiency|نيمگړتيا
define|تعريفول
define the border|حد بخشى
definitely|غوټ
definitely|په غوڅه توګه
definitely|حتما
definitely|خامخا
definitely|هرومرو
definitely|خاماخاً
definition|تعريف
definition|تعځيف
Deformity|د شکل بدلون
defuse|حنشى
defuse|خنشا
degenerate|منحط
degree|درجه
degree|لسانسه
degree (academic)|تحصيلي سند
degree (academic)|تحصيلي درجه
degrieved|محروم
dehydrated yogurt|چکه
Dehydration|د بدن د اوبو کمېدل
allow / let / permit also leave|پريښودل
dejected|خواران
delay|تعويق
delay|ټالول
delay|ځنډ
delay|ځنډيدل
delay|ډيل
delay|شا ته اچول
delay|معطلېده
delay|ځنډول
delay|معطلول
delay|ځند
Delay|معطلول، ټالول، ټال
delayed|ځنډمن
delayed|ځنډنی
delayed|معطل
delayed|معطلي
delayed|ځنډول شوی
delegate|مرکاوو
delegate|مرکچي
delegate|مرکوال
delegate(s)|هيات(ان)
delegated|موکل
delegation|مرکه
delegation|هيأت
delegation|پلاوی
delegation|جرگه
delegation|هيﺋت
delegation|هيت
deliberate|سنجول
deliberate|وسنجوو
deliberate|ځير
Deliberate Ambush|عمدي يا قصدې کمين
deliberation|تامل
deliberation|ځير
deliberation|سنجش
deliberation|غور
delibration|سنجش
delicacy|نزاکت
Delicacy|خوندورتوب/ لطافت
delicate|نازنين
delicate|نازک
delicateness|باريکي
delicious|خوندور
delicious|مزه دار
delighted|محظوظ
delirious|سرسام
delirium|هذيان
deliver|تسليمول
deliver|رسول
deliver|تسليم کول
deliver |تحويلول
deliverance from |رغيدنه
delivery|تحويل
delivery|تسليمي
delivery|رسونه
delivery|وړنه
Delivery|تحويلې/ سپارنه
delivery of babies|ولادت
delta|دلتا
deluxe|لوکس(ه)
demand|تقاضا
demand|ادعا
democracy|ديموکراسي
democrat|دموکرات
democrat|ديموکرات
democratic|ديموکراتيک
demolish|خرابول
demolish|ړنګول
demolish|نړول
demolish|ورک کول
demolished|نړېدل
demolished|کنډ او کپر
demolished|نریدلی
Demolitions|ويجاړونې ، ړنګونې
demon|جن
demoness|اشا
demonstation|تظآهر
demonstrate|تمثيلول
Demonstrate|څرګندول، تمثيلول
demonstration|مظاهره
demonstration |لاريون
demonstrations|مظاهرې
demonstrator|مظاهره چي
demonstrator|مظاهره کوونکی
demonstrator|مظاهره چيان
demonstrator|مظاهره کوونکى
demonstrators|لاريون کوونکى
demonstrators|مظاهره چيان
dence forest|ژاخ
denial|انکار
denied|محروم
denier|قافر
Denmark|ډنمارک
dense|شنه لوخړه
dense|ګڼ
dense|لوخړه
dense |زمبر
dense,black cloud|غړوسکه
denseness|ګڼوالی
dent|کړوپول
dental|غاښيز
dented ness|کړوپوالی
deny / reject|انکار
denying|منکر
denying|منکرېدل
denying|ناګاره
depart|روانېدل
department|برخه
department|شعبه
department|څانګه
Department of Forestry|د ځنګولو لورياست
department store|مغازه
departure|تگ
departure|حرکت
depend|متکي
depend on|اړه لرل
dependent|متکي
dependent|موکول
depends on…|اړه 
Depict|انځوول/ تشريح کول
Depicted|انځور شوی، تشريح شوی
depilatory|واجبي
Deploy|ځای  پر ځای کول
deployed|مقرر
deposed|معزول
deposit|وديعه
deposition|خلع
depp|شپ
depressed|روحي خپگان 
depressed|غمګين(ه)
depression|خفګان
depression|خپګان
depression|رکود
deprivation|تحريم
deprivation|حرمان
deprivation|محروميت
deprive of|سلب کول
deprived|بېنوا
deprived|بېبرخي
deprived|مجروم
deprived|بې برخه
deprived|بې برخی
deprived of|بې نصیبه
dept|قرض
depth|ژورتوب
depth|ژوروالی
depth|غوچوالی
depth|عمق
deptor|قرضه
deputy|معين
deputy|نايب
deputy|مل پاسوال
deputy|مرستيال(ه) 
deputy|مرستيال
deputy treasurer|معاونيت
deputyship|نيابت
deranged|باوله
De-rig Runsacks|د شا بکسونه خلاصول
derivation|اشتقاق
derived|مشتق
dervish|دروېش
dervish|ملنګ
dervish's cup|کچکول
descend|کښته کېدل
Descend|را کښته کېدل
descent|نزول
describe|بيانول
described|موصوف
describtion|شرح
description|شرح
description|نښې
descriptive|تريحي
descriptive geometry|ترسيمي هندسه
desecration|بې حرمتى
desecration|بې عزتى
desert|استحقاق
desert|بيابان
desert|بېديا
desert|چول
desert|دشته
desert|دښت
desert|ډاګ
desert|رېګستان
desert|سوراړ
desert|سونجه
desert|صحرا
desert|ولخه
desert|بيديا
desert|تښتيدل 
desert|درښت
desert|صحار
desert|دښت(ه)
deserving|مستحق
deserving|مستحقی
design|سپرغه
design|طرح
design|نقش
design|تدابير نيول
design|نقش او نګر
design on the border of a woollen table cloth|زونی
designation|تعيين
designer|طراح
desire|تمنا
desire|جذبه
desire|څوب
desire|کاز
desire|ناټ
desire|آرزولرل
desire|هيله
desire|هيله کول
desire|ارزو
desire|ارمان
desire|مطلوب
desired|مطلوب
desirous|ارمانجن
desirous|مينه دار
desk  |مېـز
desolate|ويجاړ
desolate|ويران
desolating|ويجاړونکى
despair|لاس پريولل
despair|ياس
desperate|مايوش
desperate|مايوس(ه)
desperate|حيران
desperate condition|سختې او تنګې
despise|تحقيرول
despite|سره له دى
despite this (fact)|پر دې سربيره
despotic|استبدادي
despotic|جابر
despotic|مستبد
destination|منزل
destiny|ازل ليک
destiny|سرنوشت
destiny|برخليک
destiny|مزل
destrayed|ميرات
destroy|بربادول
destroy|بربادېدل
destroy|ورانول
destroy|تخریب / تباهي
destroy|خرابول
destroy|له منځه يوسی
destroy|له مينځه وړل
destroy|نړول
destroy|ويجاړ
destroy|تخريب کول
destroy|سرنګون کول
Destroy|ويجاړول، تخريبول
destroyed|ډونډ
destroyed|کنډ او کپر
destroyed|کنډ و کپر
destroyed|وران
destroyed|ورنکړي
destroyed|ړنګ
destroyed|ګډوډ
destroyed|خراب(ه)
destroyed|ويجاړ(ه)
destroyed|نړدلي
destroyed|ويجار(ه)
destroyed|وران(ه)
destroyed|کنډکپر
destroyed|برباد
destroyed|لتاړه
destroyed |وران(ه)
destroyed and deserted|کنډ او کپر
destroyed building|کنډواله
destroyers|تباه کونکي
destruction|بربادي
destruction|تباهي
destruction|فنا
destruction|ورانوالی
destruction|وراني
destruction|ورانښت
destruction|تباهى
destruction|ورانکارى
destruction|خواري
destruction|تخريب
destruction (of a regime)|ړنګيدل
destructive|تخريبي
destructive|زيانکاره
destructive|ورانکار
destructive|ورانکاری
destructive|تخريبى
destructive|ويجاړونکى
destructtion|تخريب
Detachment|انفکاک
detail|تفصيل
detail|متن
detail|جزيات
detail(s)|تفصيل(ات)
detailed|مشرح
detailed|مفصل
detailed|مغصل
details|تفصيلات
details|تفصیلاتی
details|جزئېات
details|جزييات
details|جزیاتی
details|جزئيات
detain|پاته کول
detain|ځنډول
detained|توقيف
detect|څرک ايستل
detect|کشفول
Detection|موندنه ،  کشفونه
detective|محقق
Detergent|پاکونکی محلول
determination|تصميم
determination|عزم
determination|ټاکنه
determination|پرېکړه
determine|تعيينول
determined|تثبيت
determined|ټاکل
determinism|معينيت
dethroned|مخلوع
Detonating Cord|د چاودنې سيم 
Detonating Velocity|د چاودنې سرعت 
detour|موقته لار
Detour |فرعي يا بدله لار
detrimental|تاوانی
Detrucking Points|د وسايطو د ترک کولو يا پرېښودلو نقطې
devastation|ورانى
develop|انکشاف ورکول
develop|پياوړی کول
developed|انکشاف
developed|مترقي
developed country|پر مختللی هيوال
developing|پرمختيايي
developing|مخ په وده
development|جنبش
development|پراختيا 
development|رغونه
development|وده
development|انکشاف
development(s)|پرمختګ(ونه)
developmental|پراختيايي
deviate|غړول
deviated|منحرف
deviation|انحراف
device|اله
devil|ابليس
devoid of|بې نصيبه
devoted|سرپريکړی
devoted|فداکار
devoted|مخلص
devoted to|پرست
devoting (act)|پرستى
devotion|فداکاري
devout|زاهد
dew|پرخه
dew|سوګ
dew|شبنم
dfame|بدرنګول
DFP|مورچل
DFP|مورچی
diabetes|د شکرى مرض
diabetes|ديابيت
diabetes|د شکر ناروغ
diacritical mark indicating stress|شد
diacritical mark representing |زېر
diacritical mark representing  a |زورکی
diacritical mark representing (a)|زور
diacritical mark representing 1 |کسره
diacritical mark representing the sound (U)as in put|پېښ
diacritics|اعراب
diagnose|تشخيصول
diagnose|تشخيسول
diagnosis|تشخيص
diagnosis|تشخيص(ونه)
diagnosis|تثخيص
diagonal|وتر
dialect|لهجه
dialect|لحجه
dialectical|ديالکتيکي
dialectical |ديالکتيک
dialogue|سکالو
dialogue|محاوره
dialogue|مرکه
dialogue|مصاحبه
diameter|قطر
diameter|د دايري قطر
diamond|لال
diaper|روڼی
diaper|کونسترګی
diaphragm|زنخول
diarrhea|ارخاړی
diarrhea|اسهال
diarrhea|رمی
diarrhea|نس ناسته
diarrhea|نس ناستی
Diarrhea| نس ناسته، اسهال
diary|د يادښت کتابچه
dick|غين
dick|کير
dictation|املا
dictation|عنوان
dictionary|قاموس
dictionary|ډکشنري
dictionary|ډِکشِنـَري
did it get to you|ورسيد
did you get it|ورسيد
die|مړل
die|مړ کېدل
die|ژوند له لاسه ورکول
diesel|ډيزل
diet|پرېزانه
diet|غذايي رژيم
differ|فرق کول
difference|اختلاف
difference|پرخ
difference|تفاوت
difference|توپير
difference|فرق
difference|توپیر
difference|توپیر/تفاوت/فرق
difference|توپير(ونه)
difference|فرق(ونه)
difference of opinion|د نظر اختلاف
differences|رقيبه
different|مختلف  
different|متفرقه
different |بيل
different |رنګارنګ
different |مختلف
different kinds|بیلا بیل
different kinds|رقم
different kinds|ډول
different kinds|ډول ډول
different types|راز راز
differently|بل شان
differently|بل ډول
differing|متفاوت
difficult|ستونزمن
difficult|شاقه
difficult|مشکل
difficult|ګران
difficult|کړکېچن
difficult|مشکل(ه)
difficult|گران(ه)
difficult|ګران(ه)
difficult|سخت(ه)
difficult|کړکيچن
difficult issue|کشاله
difficulty|اشکال
difficulty|ستونزه
difficulty|ستونځه
difficulty|کړاو
difficulty|مضيقه
difficulty|معضله
difficulty|مشکل
diffuse|خنثحا کول
dig|کارول
dig|کيندل
digest|هضمول
digestion|هضم
digestion|هاضمه
digestive|هاضمه
Digging|کيندل (حفر کول)
digits|ارقام
digits|تعداد
digits|عدد
dignified|موقر
dignity|ابرو
dignity|حرمت
dignity|حيثيت
dignity|روب
dignity|وقار
dignity|پت
dignity|شرف
dignity|آب
dignity|عزت
dignity|پرده
digression|انحراف
dilemma|فاجعه
diligence|هاند
diligent|خواري کښ
diligent|زيارکښ
Dill|شبت: يو ډول نبات چې ښه بوی لري
dilute butter milk|شناوۍ
dilute butter milk|کړومبې
diluted|نروب
Diluted Ammonia|اوبلنه امونيا
dim|تت
dimension|بعد
Dimensions|ابعاد
diminution|تقليل
diminutive|تصغير
diminutive for  زړه |زړګی
diminutive form of  maamaa|مامک
diminutive form of death|مرګوټی
diminutive form of death|مرګی
diminutive of  کور |کورګی
diminutive of red|سورکی
diminutive of small or little|کوچنوټی
dimple|خال
din|شوروغوغا
dinar|دينار
dining room|د ډوډۍ خوړلو خونه
dining room|د ډوډۍ خوړلو کوټه
dining room|د ډوډۍ کوټه
dip|يوپ
dip|پورې کول
diploma|بری ليک
diploma|دپلوم
diploma|سهاتنامه
diploma|شهادت نامه
diploma |شهادت نامه
diplomatic corps|کورديپلوماتيک
dipper|دب
direct|بې واسطې
direct|سيده
direct|مخا مخ
direct|نېغ
direct|مستقيم(ه)
direct|مخه کول
direct|سوقول
direction|استقامت
direction|روخ
direction|سمت
direction|لودن
direction|خوا
direction|طرف
direction|هدايت
directly|راسأ
directly|مستقيمآ
directly|نېغ په نېغ
director|مدير
director|مديره
director|رئيس(ه)
director|امر
directorate|مديريت
directorate|ميديريت
directorate of public health|د عامي روغتيا رياست
dirt|خيره
dirt|کثافت
dirt|خاوره
dirt road|خامه سړک
dirt, dirtiness|چټلي
dirty|چټل 
dirty|خچن
dirty|خيرن
dirty|خيرنول
dirty|خيره
dirty|رېمن
dirty|کثيف
dirty|کرغېړن
dirty|کرغېړنول
dirty|ککړ
dirty|ککړول
dirty|لغوړن
dirty|لغوړونول
dirty|لوغړن
dirty|ماموس
dirty|مردار
dirty|مردارول
dirty|ممغوړن
dirty|نجس
dirty|چټل
dirty|چټلي
dirty|خړ
dirty|خېرن
dirty|زاړه
dirty|کرغيړن
dirty|ناولی
dirty|چټل(ه)
dirty|کثيف(ه)
dirty|کرغيړنه
dirty (religiously prohibited)|مردار
dirty fruits|ناوله
dirty water|مردارى اوبه
disability|معلوليت
disable|ګوډول
disabled|معيوب
disabled|معيوبينو
disabled|ګوډ
disabled|معيوب(ه)
disabled (in-anim)|عيدبي
disabled people|معلولين
disagreement|لانجه
disappear|له منځه تلل
disappeared|تري تم
disappointed|مايوس
disappointed|نهيل
disappointed|مایوس
disappointed|ناامېد
disarm|بې وسلې کول
disarm|بې وسلې کېدل
disarm|خنثحا کول
disarm|خونسا کول
disarmament|خلع سلاح
disarmament|بى وسلى کول
disarmament|خلع صلاح
disarray|ګډوډ
disaster|افتونه
disaster|آفت / افت
disaster|تباهى
disaster|تکی
disaster|عافت
disaster|فاجعه
disaster|ټکه
disaster|مصيبت
disaster|آسماني آفت
disaster|افت
discernment|تمييز
discernment|تشخيص
discharge|ګوښه کول
discipleshep|مريد
discipleshep|مريدي
discipline|انتظام
Discomfort|ناراحتي
disconnected|قطع
discontent|نه رضائيت
discontentedness|ناخوښي
discontinuation|متارکه
discord|نفاق
discord|لانجه
discount|تخفيف
discount|تنزيل
discount|مراعت کول
discouraged|بی جراته
discouraged|مايوش
discourse|محاور
discourse|محاوره
discover|کشف کول
discover|کشفې کول
discover|ميندل
discovered|منکشف
discoverer|کاشف
discoverer|لڅاوو
discovery|کشف
Discretion|واک، اختيار، پوهه
discrimination|تبعېض
discrimination|تعصب
discrimination|تبعيض
discriminator|متعصب
discription|بيان
discuss|بحث کول
discuss|مذاکرات کول
discuss|سپړل
discuss|تبصره کول
discussable|د بحث وړ
discussion|بحث
discussion|مباحثه
discussion|مذاکره
discussion|بحس
discussion|تبصره
discussion/negotiation|بحث
discussions|بحثونه
disdain|استخفاف
disease|مرض
disease|مريضي
disease|ناجوړي
disease|ناروغي
disease|مرض(ونه)
disease characterized by the swelling of the head|پاږی
Disembark|پر وچه پلي کېدل
disengage|کريابول
disengage|کريابېدل
Disengage|له جګړې څخه لاس اخيستل، ازادول
disfigurement|مسخ
disgrace|بدنامي
disgrace|بې آبول
disgrace|بې آبي
disgrace|بې حرمتي
disgrace|سپکاوی
disgrace|افتذاح
disgrace|افتضا
disgrace|رسوايى
disgrace|شرم
disgrace|غیبت
disgrace|سپکاوي
disgrace|ننګ
disgraced|بې آبرو
disgraced|بې پردې
disgraced|رسوا
disgraceful|بې پته
disgust|اکراه
disgust|بېزارول
disgust|بېزاري
disgust|بېزارېدل
disgusted|بېزاره
disgusted|متنفر
disgusted|منزجر
disgusted|وېزار
disgusting|چتى
disgusting|ناوړ(ه)
disgusting word|ورخيړه
dish|غاب
dish|قاب
dish|مشقاب
dish|خورک
dish|غذا
dish|لوښی
dish|لوښى
dish made of  pulse pe|پاتی
dish made of rice|کيچړی
dish of rice with chicken|مرغ پلو
disheveled|ګګر
dishonest|خپکی
dishonesty|بې ايماني
dishonor|بې عزتى
dishonor|ننګ
dishonorable|بې عزته
dishware|لوښي
dishware|لوښى
disinfectant|د ميکروبونو ضد
disinherited|عاق
disinterested|بې طمعې
disinterested|بې علاقې
disinterested|بې غرضه
disinteretedness|بې غرضي
dislike|وړل
dislocated|اوښتى
Dislodge|بيځايه کول
dismantle|له کاره غورځول
dismiss|رخصتول
dismiss|برطرف کول
dismiss |ګوښه کول
dismissal|برطرف
dismissed|موقوف
dismissed|ګوښه
dismount|پلي کول
Dismounted Units|پلي يا غير ميکانيزه جزوتامونه
disobediance|سرغرونه
disobedience|تمرد
disobedience|سرغړونه
disobedience|نافرماني
disobedient|سرغاړی
disobedient|سرغړاندی
disobedient|بغاوت
disobey|غاړه غړول
disobey|سرغړونه
disorder|اختلال
disorder|بې نظمي
disorder|ګډوډي
disorder|بې نظامى
disorder|فساد
disorder|ګډوډى
disorder|هرج او مرج
disordered|مختل
disordered|نااوډلی
disorderliness|بې نظامى
disorderly|بې نظمه
disorderly|نامرتب
disorganization|نامنظمتيا
disown|عاق کول
disown|آق
disown|آق کول
dispatch|بارچالاني
dispensing with changing one s mind|منصرف
disperse|شینېدل
dispersed|شوپه شو
dispersed|متفرق
dispersion|تشتت
Dispersion|اتساع / تيتېدل 
dispicable|زبون
displaced|بې کوره
display|ښکاره کول
Display Will Blink|د نمايش پرده سترګک وهې يا  مړه او روښانه کېږي
displeased|مرور
displeased|ناراض
displine|دسپلين
disposition|خوي
Disposition|صف آرايي 
disproportionate|نامتناسب
disproportionate|ناموزون
dispute|مجادله
dispute|مشاجره
dispute|منازعه
dispute|مناقشه
dispute|ناندرۍ
dispute|نزاع
dispute|شخړه
disputed|لانجه من
disputes|ابحاث
disregard|له نظره اچول
disrepect|بې اعتنايي
disrupter|ورانکار
dissatisfaction|نه رضائيت
dissatisfied|ناراض
disseminate|نسرول
Disseminate|تيتول، پاشل
dissent|لانجه
dissipated|بدلاری
dissolute|بدچلاوه
dissolution|فسخ
dissolve|حل کول
dissolve|حلول
dissolve|منحل
dissolved|منحل
dissolved|منحله
dissuade|ستنول
distance|فاصله
distance|مسافه
distance|واټن
distance between the tomb and fore finger |ګرت
distich|بيت
distillation|تقطير
distilled|مقطر
distinct|متمايز
distinct|برسير
Distinct Coil|ښکاره يا څرګند مارپيچ
distinction|تشخيص
distinguished|ممتاز
distoiber|مخل
distortion|تحريف
distraction|تخريب
distress|خواري کول
distressed|ابتر
distressing|خواشينوونکى
distribute|توزیع کول
distribute|توزېع کول
distribute|وېشل
distribute|خپرېدل
distribution|تقسيمات
distribution|توزيع
distribution |ويش
distributor|موزع
district|ناحيه
district|ولسوالۍ
district|حوزه
district (city)|ناحيه
district (province)|ولسوالۍ
district attorney|څارنوال
distructive|مخرب
disturb|ځورول
disturbance|اخلال
disturbance|هله ګوله
disturbance|اختلالات
disturbed|مضطرب
disunion|ځانځاني
disunity|بې اتفاقي
disunity|بى اتفاقى
ditch|جر
ditch|جرۍ
ditch|چرۍ
ditch|لښتی
ditch|نيښتوی
ditch|واله
ditch|وياله
ditch|کنده
Divert|منحرفول
divest|سلبول
divide|تقسيمول
divide|وېشل
divide|جلا کول
divide|ويشل
divided|بې اتفاقه
divided|وېشلی
dividend|مقسوم
divine|الهي
divine gift|نعمت
Divinity|خدايي
divinity|لاهوت
division|تفرقه
division|تقسيم
division|نفاق
division|وېش
division|وېشنه
division|بخش
Division|فرقه
division (military)|لوا
divisor|مقسوم عليه
divorce|طلاق
divorced|مطلقه
divorced|طلاقه
dizziness|اکر
dizziness|سربدالي
Dizziness|پرکالتوب/ سرچرخي
dizzy|سربدال
dizzy|ګنس
dizzy|ګنګس
dizzy|خوبولی
dizzy|گنگس
dizzy|مشغول
dizzy |ګنسول
DMZ (Demilitarized Zone)|غير نظامي شوې ساحه
do|کول
do|کړل
do a service|خدمت کول
do good deed|احسان کول
do training|تمرين کول
docktaited|لمچړ
doctor|دکتور
doctor|ډاکټر
doctor|ډاکـټـر(ه)
doctor|معالج
doctor|دوکتور
doctor|طبيب
doctorate|دکتورا
doctorine|دوکتورين
Doctrine|دکترين (د جنګ اصول) 
document|سند
document|مجلا
document|مدرک
document|وثيقه
document|اسناده
document|وثيفه
document|اسناد
document|کاغذ(ونه)
document |وثيقه
documentary|مستند
documentation|اسنات
documentation|سند
documents|اسناد
documents of value|صکوک
doer|فاعل
doesn’t allow|پري نږدى
doesn't let|پري نږدى
dog|سپی
dog|سپى(ۍ)
dogbane|کچوله
DOL (Drop-off Location)|د غورځولو يا کښته کولو ځای
doll|ګوډاګی
doll|لوڅکه
doll|لينځکه
doll|نانځکه
doll|ناوکۍ
doll|نانځکې
dollar|ډالر
dollar|ډالره
dolphin|څوڅ
domain|حوزه
dome|ګمبته
dome|ګومبته
dome|ګومبزه
dome|ګومبۍ
domestic|کورني
domestic and foreign|کورنی او بهرنی
domestic animals|څاروۍ
domestic medication|کورني دارو
domesticated|کورنی
dominance|بادارۍ
dominant|مسلط
domination|تسلط
don,t no|مه
donate|بخښل
donate|بښل
donate blood|وينه ورکول
donation|بخښښ
donation|خيرات
donkey|خر
donkey|مردارهډی
donkey driver|خرکار
donkey dung|خرشنه
donkeyherd|خربون
donkeys|خرو
donkeys|خرونه
don't be rude|بې ادبى مه کوه
don't be stingy|په مېلمه سختى ونکړى
don't bring|مه راوله
don't hesitate to eat more|ست مه کوه
don't ride|مه سپریره
don't say it |مه يي وايه
don't worry|بيغمه اوسه
don't you consider bob a pashtun|بولی
doomed|په زوال محکوم
door|ور
door|دروازه
door bar|بلوټ
door block|ورپورک
door check|ټمبه
door frame|چارچوب
Door Knob Charge|د دروازې د دستګير حق املا
doorknob|دستک
doorman|دروازه وان
doorway|درګاه
dorling|محبوبه
dormitory|ليليه
dorms|ليليه
dose|دوز
dossier|دوسيه
dot|ټکی
dot|ټکۍ
double|دوچنده
double|دوه نليز
double|غبرګ
double|غبرګول
double|يوپه دوه
double|دوچنده کول
double|يو په دوه
double chin|جج
double dealer|دورنګه
doubled|مضاعف
doubles|اضعاف
doubt|خرخښه
doubt|شبه
doubt|شک
doubt|ترديد
doubtful|شکمن
doubtful|مشکوک
doughter in law|نږور
doughter in law|نګور
dove|سپلمه
dove|کټميره
dove|کوتره
down|کوز
down|کښته
down|کسته
down|لاندی
down|ځوړ
down|ښکته
down payment|بيانه
downfall|زوال
downfall|سقيط
Downstream|د اوبو د جريان مطابق
dowry|ولوړ
dowry|جهېز
dowry|ولور
dowry|مهر
dozen|درجن
dozen|درزن
draft|تسويد
draft|حواله
draft|مخ ليکنه
drag|څښول
drag|کاږل
drag|کشول
drag court|محکمو ته را کاږل
ِDrag Noose Snare|کشېدونکې کړۍ لرونکی لومه يا دام 
Drag Stick|کشېدونکې لرګی 
dragon|اژدهار
dragon|ښارمار
dragon|اپى
dragon|افى
dragon fly|څمڅلکی
drain|اورو
drama|ډرام
drama|ډرامه
dramatic|ډراماتيک
draught|کش
draw|رسمول
draw|قرعه کشي
draw|کښل
draw|ويستل
draw|رسم کول
draw |خري په خري 
draw blood|وينه اخيستل
draw out water from well|اوبه ايستل
drawer|جعبه
drawer|رسام
drawers|سلتراج
drawers|سلدراج
drawing|ترسيم
drawing|رسامي
drawing|رسم
drawing lots|هسک
dread|سام
dreadful|سونځ
dreadful|مهيب
dreadful|وحشتناک
dream|رويا
dream|خوب ليدل
dream|خواهشات
dreams|ارادى
dregs  of cured |ګاړه
dress|کالی
dress|لباس
dresses|اغوستانې 
Dressing the Knot|د غوټې تړل
dried apricot|اشتغ
dried apricot|کته
dried apricot|کښته
dried black curd|کورتوبه
dried cow dung used for fuel|بدره
dried curd|کراړه
dried curd|کورت
dried fruit|وچه مېوه
dried rhubarb|اريی
drift wood|نېزوړی
driftwood|شاوړی
drill|برغو
drill|برمه
drill|برمه کول
drill|کوايت
Drill|مشق
drill sergeant|تعليم ورکوونکی
drill sergeant|د تمرين سوولو بريدګى
drill tool)|ګرمټ
drink|چښل
drink|څکل
drink|څښل
drink|مشروب
drink|څښاک(ونه)
drink|مسروبات
drink (alcoholic)|شراب
drink w/hashish|بنګ
drinking|څکا
drinking|څښاک
drinking glass|ګلاس
drinking glass|ګيلاس
drip|څکول
drip|ننول
drip|ننېدل
