A little|لږ
Rate/fee|اجره
Ration|استهقاق
Reaction|غبرګون
Ready|اماده/چمتو
Ready|تیار
Reason|دلیل
Rebuilding|بیا رغاونه
Rebuilding|بیا رغونه
Recently|په دې او اخرو کې
Recently|په دې وروستیو کې/پهٔ دې نژدې وخت کې
reconciliation|پخلاینه
Reconsiliation|منځګړیبوب
Red Crescent|سره میاشت
Red cross|سر صلیب/سره میاشت/هلال احمر
Red cross/red crescent|سره صلیب/سره میاست
Refugee|کډوال/پناهنده کان/مهاجر
Refusal|سرغړونه
Regular|باقاعده
Regular/formal|منظم
Relationship|اړیکې
Religious|مذهبي
Religious obligation/assumption|فرض
Religious rule|فقهه
Remedy|تداوی
Remnants|کنډوالی
Reporter/journalist|خبریال
Republic|جمهوري/ولسوکي
Republic|جمهوریت
Republicans|جمهوریات غوښتونکی
Reputation|موقف
Rescue|نجات
Research|څیړنه
Respect|عزت/احترام
Respect|قدر
Respiratory system|تنفسی (سیستم)
Responsibility|مسولیت
Responsibility|مکلفیت
Responsibility/blaim|پړه/ملامتیا
Responsible/obligated|مکلف
Restance|مقاومت
Result|پایله/نتیجه
Retail|پرچون
Retired|متقاعده
Return-fire|ځوابي دزې
Revence|غچ/انتقام
Rice|وريجی
Rice|وریږی
Riddle|کیسۍ
Rifle|توپک
Right now|دمګړی
Ring finger|د واده ګوته
Road|جاده
Romance movie|مینه ییز فلم
Roof|بام
Room|خانه
Roommate|هم اطاقي
Roommate|هم صنفی/هم کوتی/هم اتاقی/هم وطن/د کوټې ملګری
Root|جرړ
Root|جرړه
Ruby|یاقوت
Rude|بې ادب
Sack|بوجی
Sacrifice|قربان
Safe|ارام
Safety|مصؤنیت
Safety|مصؤنیت
Sale|لیلام
Salt|مالګه
Same|عیني
Same|ورته/موافق
Sanction|بندیز
Satan|شیطان
Satisfied|راضې
Satisfied|رضایت
Scale|تله
Scam/deceit|مکر
Scammer|مکرجن
Scar|علامه/داغ
Scholar|عالم
School|ښوونځی/مکتب
Science master|ساینس پوهاند
Scientist|ساینس پوه
Scream|ناره
Search/investigation|څار
Seat-belt/belt|کمربند
Secret|راز
Secretary|منشي
Secretive|رازداره
Security|امنیت
Seed|تخم
Seed|دانه
Seedling|نيالګی
Senate|سنا مجلس/مشرانو جرګه
Sensative|حساس
Sense|حس
Separation|تفریق
Series|لړ
Serious|جدي
Servant of the nation|د ملت خالم
Sewage system|بدرفته څاهان
Shame|شرم
Shame|شرم
Shame on you|تاته شرم پکار ده
Share|سهم/برخه/ونډه/حصه
Share/portion/part|حصه
Shareholder/partner|برخمن
Shelter|سرپناه
Shop|هټۍ
Shopkeeper|هټیوال
Shot|ګوت
Shot/injection|ستن
Should|حتماً
Shrine|زیارت
Shrine|زیارت
Sick|ناروغ
Side|خوا
Side by side|څنګ پر څنګ
Sight|لېدلو حس
Signature|لاس لیک
Signature|لاسلیک/امضا
Silent|چپه خوله
Similar|مشابه
Similar subjects|ورته موضوع
Similarly|همدارنګه
Simultaneously|پهٔ/یو عین وخت کې/همزمان
Sin|ګنا
Since|راپه دې خوا
Singer|سندرغاری
Sip|غړپ
Sister-in-law|خوښینه
Sister-in-law (groom's sister)|نندرور
Sister-in-law (wife's sister)|ښینه
Situation|څرنګوالی/حالت/وضع
Situation|وضعیت
Sixth sense|د یماغي حس
Skin|پوست
Skin disease|جلدي ناروغي
Slave|غلام
Sleeping|ویده
Sleepy/sleepy|کم خوب
Slowly|ورورو
Small shop/booth|غرفه
Smart board|هوښیاره تخته
Smell|د بوي حس/د شامعې حس
Smile|مسکا
Smoke|دود
Snake|مار
Snake|مار
So much|چندان/دومره
So that/in order to|تر څو
So-so|ادنا
So/Therefore/Then|نو
Social issues|ټولېنیز چارو
Society|جامعه/ټولنه
Soft|پوست
Soldier|پوځی/سپاهی
Solid|جامد
Someone who has read the entire Quran|قاري
Someone with bad constipation|تمبه
Someone/something that is killed before its time|نیمه خوا
Son-in-law|زوم
Song|سندره
Sound of the tank|غرهار
Source|سرچینه/منبع
Soviet|شوروي
Speaker|ویونکی
Special|ځانګړی
Special rice for Qabuli Plau|سیله وریجې
Specific|مشخص
Speech|بیانیه
Speech|وینا
Speed|سرعت
Spicy|مالاداره
Spider|غڼه
Spirit|روح
Spokesman|ویاند
Spokesperson|نطاق
Spokesperson|وایند
Spokesperson|ویاند/ویانده
Spring/source|چینه
Spy|جاسوس
Spying|مخبېرې/جاسوسې
Stability|ثبات
Stability|ثبات
Stage|مرحله/پړاو
Stage|مرحله/پړاو
Stamp|مهر/ټاپه
Stance/policy|دریځ
Stand|پایه
Standard|معیار
Start|شروع/پیل
State|آیالت
State of emergency|اضطراري حالت
Statement|بیان
Station/stop|تم ځای
Stationwagon|سراچه
Statue|مجسمه/بت
Steel|آهن/اوسپنه
Step|قدم
Step|ګام
Step-sibling (adj)|ناسکه
Stepfather|پلندر
Stepmother|مېدر
Stigma|داغدار
Stingy|کنجوس/با احتیاط
Stone|کاڼه
Stops/stations|ایستګاه/ایستاد ګاه
Straight|سیده
Strange|عجیب
Stream|ویاله
Stress|ورحی فشارونه
Stroke|مغزي حمله
Strong|غوښتلی
Struggle/efforts|هلې ځلې
Stubborn|سرتمبه
Study|مطالعه
Stupid|پاګل
Subject|موضوع
Subsequently|په نتجه کې/وروسته بیا
Subsistence/daily food|روزي/نفقه
Successful|کامیاب
Sugar|بوره
Suicide|ځان وژبه
Suicide attack|ځانمرکی برید/انتحار
Suicide prevention brief|د ځان وژلو خبرتیا
Superpower|زبرځواک
Supply|ارضه
Supply|توکي/مواد
Support|ملاتړ
Supreme court|ستره محکمه
Surfing|د څپو لوبه
Surgeon|جراح
Surived|بچ شوي
Surplus/a lot of things|فریمانه
Swear|قسم خوړل
Sweet|خوږ
Sweet treat burrito that we keep having|د حلوا سوجي
Synagogue|سینیګاګ
System|نظام
Tail|لکۍ
Tailor|خیاط
Talent|استعداد
Talented|استعداد
Talented|با استعداد
Talented (Arabic)|مستعد
Tattoo|خال
Tea|چای
Tea shop|سموار خانه
Team|لوبډله
Team|لوبډله/ټیم
Technically/correctly|تخینکي
Telecommunications|مخابرات
Television|تلویزون
Television series|سریال
Tension|تشنج
Terror|ترور
Terrorist|ترهګر
Testimony|شاهدت
Textile mill|نساجي
That (demonstrative pronoun)|دغه
That is all|او بس
That is all|دا ټول دی
That is why|ًًځکه نو
That much|دومره زیات
That type/like that|دغسی/داسی
The Administration for the Struggling Against Natural Disasters|د طبعي پیښو پر وړاندې د مبارزې ادارې
The best|غوره
The day before last|وړمه ورځ
The Persian Gulf|د فارس په خلیج
The sun is not hiding behind two fingers (something is so obvious it is impossible to deny)|لمر په دوو کوتو نه پټیږي
The title given to Mohammed (salvation and peace upon him)|صلی الله علیه وسلم
The trip around god's house|طواف
The voting box|د رایو صندق
The world is two days (life is short)|دنیا دوه ورځي ده
Theft|غلا
Then|نو بیا/هغه وخت/ورپسې/پهٔ هغه صورت کې
There is a lot of difference|مځکه او اسمان فرق لري
There was evil but it's effects were not there (something bad happened but no one was harmed)|بلأ ؤ او برکت یې نه ؤ
They take the soup down from the sky (they are tall)|د آسمانه ښوروا را تا کوي
Thief|غله
Thigh|پتون
Thing|شی
Things/supplies/items|سامان
Third world countries|شاته پاته/وروسته پاته هیوادونه
This (year)|سږ
This is what we are going to do|داسي به وکړو چې
This means that|په دې معنې باندی
Thorn|زوز
Thought|سوچ
Thousand|زر/زره
Threat|ګواښ
Three days ago|لاته وړمه ورځ
Threshold/within/coming|درشل
Thumb|بټه ګوته
Time|پلا/وخت/واړ/ځل
Time|دوره/موده
Time|مهال/زامن
Time period/tense|زمانه
Time/opportunity|موقع
Times (compared to something else)|چنده
Tip|بخششي
Title used when addressing god|جل جلاله
To abort|د ماشموم سقط کول
To accept|قبول کول
To accept|منل
To add|اضافه کول
To analyze|تحليل کول
To approve|منظوريدل
To ask a question|پښتل
To assign|ګمارل
To assign someone to a job|په کار ګمارل
To assume as good luck|په نیک فال نیول
To attach|لکیدل
To be able to|توانیدل
To be able to|کولای کیدل
To be accepted|شاملېدل/داخلېدل
To be born|زېږیدل
To be bothered|اړکېدل
To be confiscated|قبضه کېدل
To be defeated|ماته خوړل
To be eliminated|تباه کېدل
To be encouraged|هڅول کیدل
To be escorted|بدرګه کېدل
To be expedited/sped up|ګړندي کېدل
To be finished|حتمنیدل
To be formed|تشکیلیدل
To be improved/chosen?|غوره کېدل
To be interviewed|مصاحبه کول
To be killed|قتل/وژل کېدل
To be performed|سر ته رسېدل/اجره کېدل
To be prepared|اماده کېدل
To be published|خپرېدل
To be released|خیور کول
To be sentenced|قید راوتل/قید راختل
To be tortured|په عزاب
To be used to|عدات لرل
To be worth/have worth|ارزش لرل
to beat|وهل
To become a volunteer|داوطلب کېدل
To become an obstacle|خنډ ګرځېدل
To become common|دوديدل
To become destroyed|ویجاړې کیدل
To become dizzy|سر ګرځیدل
To become emptied|تشېدل
To become injured|ژوبل کېدل
To become lost|ورک کېدل/لادرک کېدل
To become polluted|ملوث کېدل/ککړ کېدل
To become scared|ډارېدل
To beg|زارۍ کول
To bleach/whiten/peel|سپین کول
To blow money|پیسې لګېدل
To blow shit|غل بادول
To boil|ایشول
To boil|ایشول/جوشول/جوش کول
To brew|دمول
To build/repair|تعمیرول/جوړول
To burn|سوځول
To bury|ښخول/دفن کول
To butter someone up|غوړه مالي‌ کول
To calculate|سنجول
To care for|پاملرنه کول
To cause|سبب ګرځېدل
To celebrate|تجلیلول
To change/to exchange|بدل کول/بدول
To chase away|وشړل
To cheat/practice adultery|زنا کول
To check|معاینه کول
To check|معاینه کول/چک کول
To circumcise|سنت کول
To circumcise|سنت کول
To clear/to keep away|لرې کول
To climb|ختل
To close|پوري کول
To collapse|پرځېدل
To collect|راټولول
To collide/crash|ټکر کول/جنګېدل
To complain|شکایت کول
To complain|شکایت کول/سرټکول
To confirm|تائیدول
To confirm|تصدیق کول
To confiscate|ضبط کول
To consider|مد نظر نیول
To create|خلق کول/پیدا کول
To create|رامنځته کول
To criticize|انتقاد کول/نیوکه کول
To cross|اړول
To cry|ژرل
To cultivate|کدل
To cultivate|کرل
To curse/insult|ښکنځل
To cut|ریبل
To cut hair|د سر اصلاح کول
To cut/solve/precise|غوڅول
To cut/to pick|پرېکول
To damage|صدمه ورسول
To deal with/to be stuck with`|مبتلا اوسېدل/سره لاس او ګریوان اوسېدل
To decide|نیت کول
To decrease|کمېدل
To defuse|خنثی کول
To defuse|خنشی کول
To delay|ځندول
To delay|ځندول
To delay|ځندول
To deposit money|پیسی داخلي کول
To design|طرح کول
To die|تلف کېدل
To dig|کیندل
To dig|کیندل/کښل
To discover|وموندل
To disown|عاق کول
To distribute|وېشل/توذیع کول
To dream|خوب لیدل
To effect|تاڅیر کول
To empty|تشول
To encourage|هڅول
To encourage|هڅول
To enter|دخل کېدل
To enter|ننوتل
To escape|تښتېدل
To execute|اعدامول
To exit|وتل
To expect|توقع لرل/کول
To expel/drive away/deport|شړل
To explain|څرګندول
To export|صادرول/صادر کول
To expose|بربنډول
To extend|غځول
To fail|ناکام
To fail/be unsuccessful|پاتې راتلل
To fall/trip|غورځېدل
To fast|روژه نیول
To feel|احاست کول
To fire from work|دکاره ګوښه دکول
To fit|برابرېدل
To focus|پاملرنه کول
To form/to be a part of|تشکیلول
To fulfill someones request|هیله په ځای کول
To get|راسیدل
To get a hand in/get involved in|لاس پورې کول
To get down|کوز کېدل
To get old|زړېدل
To get together|ټولیدل
To get together|راټولېدل
To get/to take possession of/to adopt|خپلول
To give an assignment/responsibility|سپارل
To give knowledge to someone|اعلام
To give up/release|لاس اخیستل
To go/to start to go|روانیدل
To graduate|فارغیدل
To grind|ميده کول
To grow|شنه کېدل
To grow|کرل کېدل
To guess|ګومان کول
To hand over/to submit|سپارل
To happen|واقعه کیدل
To happen/to occur|پیښېدل
To have capacity|ځای لرل
To have dreams come true|خوب په واقعیت بدلیدل
To have in mind/to have plans for|په نظر لرل
To hold a festival|جشن نیول
To hurry up|لاس لږ خوځول
To implement|تطبيق کول
To import|واردول/وارد کول
To insist|اسرار کول
To install/ |نصبول
To instigate/antagonize|لمسول
To interview|مصاحبه اخیستل
To introduce|معرفی کول
To invent|اختراع کول
To invite|دعوت کول
To kill|قتل کول/وژل
To know (a person)|پژندل
To land/go down|کښته کول
To laugh|خندل
To lead|رهبري کول
To lean|تکیه کول
To learn|پند کول
To learn|زده کول
To leave|پرېښودل
To leave|ترک کول
To leave (something)|پرېښودل/پرېږد (f)
To lie down|پرېوتل/څملاستل/غزېدل
To like|(خوښیدل (خوښیږم
To listen|په خوله کول
To make|جوړول
To make excuses|بعانه کول
To make fly|الوځول
To marry|وادهٔ کول
To massage|چاپې کول
To mention|ذکر کېدل
To mention|یادونه کول
To mix|کډوډ کول
To move|انتقال کول
To move|کوچ کول
To move out|کډه کول
To not pay attention to|له پامه غوځول
To obey|قایلېدل
To offer|ست کول/سلا کول
To participate|ګډون کول
To pass in the blink of an eye|د سترګو په رپ کې تیرېدل
To pass out, become unconscious|ضعف کول
To pay attention|بان لرل
To pick|شکول
To play|غږول/ږغول
To plot/to plan|طرحه کول
To poop|عمل کول
To pray|دعا کول
To prepare|اماده کول
To prepare/support/decide|ملاتړل
To prepare/to grieve|غم خوړل
To push|پوري وهل
To put/to throw|اچول
To question|پښتنی کول
To raise the flag|علم بردارۍ
To read someone's fortune|فال کتل
To receive|تر لاسه کول
To refer|مراجعه کول
To rely on something|د ...‌ باندی تکیه کول
To repeat|تکرار کول
To rescue|ژغورل
To rescue|ژغورل
To research|څيړل
To resign|استعفا کول
To rest|دمه کول
To rest|دومه کول
To rest/to take a break|استرحات کول
To return|رستانه کېدل
To return|ستانه کول
To ring/call|زنګ وهل
To rise|اوچتیدل
To save|سپمول
To say|ویل/وئیل
To search for|ګرځیدل
To seem|بریېښېدل
To send|لېږل
To set a record|رکیار ټینګول/جوړول
To shave|خرئېل/کلول
To show the way/show someone how|طریقه ښوول
To shower|شاور اخیستل
To slip|ښوېدل
To soak|خیشتول
To solve|ضرورت رفع کول
To spend money|پیسي مصرفول
To spin|چورلېدل/څرخېدل
To spy|جاسوسي کول
To stamp|مهر لګول/ټاپه کول
To stand up|جګیدل
To start|شروع کول/پیل کول
To stay|پاته کیدل
To sting|چېچل
To stir/to mix|لړل
To strengthen/tighten|قائیمول
To suck|زبېښل
To suggest|وراندېز کول
To swim|لمبل/لمبا
To take|باستل
To take action|لاس په کار کېدل
To take part|برخه اخیستل
To take responsibility|مشوولیت منل
To think|فکر کول
To think/to be in one's thought|چرت هول
To tighten|ُتړل
To tolerate|زغمول
To touch|لمس کول
To trap/to get in|کېښودل
To travel by foot|په پښه تلل
To trip|پښه لګېدل
To try/to check|امتحان کول
To turn on|چلانول
To turn on (lights)/spend (money)/to blow (wind)|لګول
To turn over|اړول
To turn over|اوښتل
To use|استفاده کول
To use|کار اخیستل
To use|کارول
To wait|معطله کیدل
To wake up|جګېدل
To wake up|ویښیدل
To walk|قدم وهم
To walk around/to turn/to become routine|ګرځیدل
To waste|ضایع کول
Together|په کده/یوځای
Together|په ګډه
Tomb|قبر/مقبره
Tomb|قبرستان
Top|سر
Tora|تورات
Torture|عزاب
Total|جمله
Totally|بیخي
Touch|د پوست حس
Tourist|ګرځندوی
Tower|څلی
Trade/business|تجارت
Trader|تجار
Tradition|رسم او رواج
Traditon|دود/رواج
Traffic accident|ترافیکي پیښه
Translate|ترجمه/ژباډه
Transparency|شفافیت
Trap|ښکیل
Trasnportation|نقلیه
Traveler|مسافر
Traveling companion|د لاري ملګری
Treatment|تداوي/درملنه
Treatment|درملنه/تداوي
Treatment|علاج
Treatment|علاج
Trench|محاذ/سنګر
Tribe|خټه
Trick|چل
Trick|دوکه/چل/فریب
Trip|پیره
Truth/reality|حقیقت
Tuition|حق الزحمه
Turban/Large shawl|پټکې
Turkey|فیل مرغ
Turmoil|بحران
Turmoil|ترینګل
Turn|روڼ/نوبت/وار
Turn|نوبت
Turn/Attack|وار
Twins|غبرګولي/دوګانګي
Uncircumcised|سنت ګري
Uncle (paternal)|ترهٔ
Under|لاندی
Under-eye area|لیمه
Underline|کشول
Unemployed/Free (not busy)|وزګار
Unfortunately|له بده مرغه/متاسفانه
Unfortunately|متأسفانه
Uniform|یونیفورم
Union|اتحادیه
United|متحده
United Nations|ملل منحد
Universe (but not)|دنیاوال
Unusually|بې رقم
Up|پاس/پورته
Up until now|تر اوس پوری
Uprising|بلواګانو
Uprising/revolution|پاڅون/قیام
Urgently|بيړني ډول
Used|کباړ
Vacation|رخصتي
Value|ارزش/ارزښت
Vegetable|ترکاري
Vegetable|سابه/سبزیجات/سنزي
Vein|رګ
Verb|فعل/افعل
Very|خورا
Very (describing colors)|تک
View|منظره
Villager|کلیوال
Villagers|کلیوال
Violation‍|تخلف
Violation of law|سرغړونه
Violation of law; disobedience|سرغړونه
Violence|تشدد
Violence|زور زياتي
Violence/clashes|اړودوړ
Voice|آواز/ږغ/غږ
Voice|غږ
Volunteer|داوطلب
Volunteer work|داوطلب کار
Vomit|استفراق/استفراغ/قی/خوابدی
Vomit|استفراق/قی/خواګرځی
Vote|رایه
Vote|رایه
Wall|دېوال
War|جنګ
Warlord|زورواک
Waste|ضایع
Water|آب
Wave|څپه/موج
Way|لاره
Weak|کمزوري
Weak|کمزوز
Weapon|وسلی
Weather|اقلیم
Webpage|وین پاڼه
Weight|وزن
Well|څاهان
Wet|لوند
What|څه
What day is today?|نن د څه ورځ ده؟/نن څه شنبه ده؟
What day is tomorrow?|سبا د څه ورځ ده؟
What does it mean|څه معنی لري
What is your telephone number|ستا د ټلیفون نمبر/شمیر څه ده؟
What time is it|ساعت څه بجې دي؟
What type|څه ډول
Wheat|غنم
When|کله
When the love comes, you don't need beauty|مینه چې راشي ښایست نه غواړي
When the sleep comes, you don't need a pillow|خوب جې راشي بالښت نه غواړي
When you look at it|چې ورته وګوری
Where|چېدې
Which/where|کوم
White clothing worn on the Hajj|احرام تړل
Who|څوک
Wholesale|عمده
Whose?|د چا
Why|والي
Widow|کوند/کونډه
Wild|وحشي
Windows|کلکین/کړکي
Wish/desire/hope|ارمان
With each other|یو بل سره
Without|بې
Without hesitation/excessive|بې دريغه
Without-a-doubt|بې شک
Witness|شاهد
Wolf|لېوهٔ
Word|کلمه/لغت
World|نړی/دنیا
Worried|وارظا
Worried/surprised|خیران
Worry|اندیښنه/ندیشنه
Wound|زخم/ټپ
Wound|زهم
Writing|لیکنه
Written|د دبري کرښه
Written invitiation|دعوت نامه/بلنلیک
You are without shame|ته بی سرمه یې
You don't know which decision to make|زه دوه زړه یم
You have run from the rain and now we are sitting under the gutter (we are hiding from a bad situation)|د باران څخه ولاړئ او تر ناوې لاندي کښینئ
Young|زلمی/ځوان
Young teenage girls|پیغله
Younger|کشر
Zoo|ژوبڼ
|زبور
